"Element","Epics Channel Access Name"
"SOL1BKB","SOLN:GUNB:100"
"CATHODEB","CATH:GUNB:100"
"CQ01B","QUAD:GUNB:212"
"SOL1B","SOLN:GUNB:212"
"SQ01B","QUAD:GUNB:213"
"XC01B","XCOR:GUNB:293"
"YC01B","YCOR:GUNB:293"
"BPM1B","BPMS:GUNB:314"
"IM01B","TORO:GUNB:360"
"XC02B","XCOR:GUNB:388"
"YC02B","YCOR:GUNB:388"
"BUN1B","ACCL:GUNB:455"
"XC03B","XCOR:GUNB:513"
"YC03B","YCOR:GUNB:513"
"XC04B","XCOR:GUNB:713"
"YC04B","YCOR:GUNB:713"
"YAG01B","YAGS:GUNB:753"
"CQ02B","QUAD:GUNB:823"
"SOL2B","SOLN:GUNB:823"
"SQ02B","QUAD:GUNB:824"
"BPM2B","BPMS:GUNB:925"
"XC05B","XCOR:GUNB:927"
"YC05B","YCOR:GUNB:927"
"CAVL011","ACCL:L0B:0110"
"CAVL012","ACCL:L0B:0120"
"CAVL013","ACCL:L0B:0130"
"CAVL014","ACCL:L0B:0140"
"CAVL015","ACCL:L0B:0150"
"CAVL016","ACCL:L0B:0160"
"CAVL017","ACCL:L0B:0170"
"CAVL018","ACCL:L0B:0180"
"CMB01","BPMS:L0B:0183"
"QCM01","QUAD:L0B:0185"
"XCM01","XCOR:L0B:0185"
"YCM01","YCOR:L0B:0185"
"PC0H00","COLL:HTR:103"
"BPM0H01","BPMS:HTR:120"
"Q0H01","QUAD:HTR:120"
"YC0H01","YCOR:HTR:129"
"Q0H02","QUAD:HTR:140"
"XC0H01","XCOR:HTR:148"
"XC0H03","XCOR:HTR:288"
"Q0H03","QUAD:HTR:300"
"YC0H03","YCOR:HTR:309"
"BPM0H04","BPMS:HTR:320"
"Q0H04","QUAD:HTR:320"
"WS0H04","WIRE:HTR:340"
"BZ0H04","BLEN:HTR:350"
"BPM0H05","BPMS:HTR:365"
"Q0H05","QUAD:HTR:365"
"YC0H05","YCOR:HTR:377"
"Q0H06","QUAD:HTR:385"
"XC0H05","XCOR:HTR:396"
"XC0H07","XCOR:HTR:428"
"Q0H07","QUAD:HTR:440"
"YC0H07","YCOR:HTR:451"
"BPM0H08","BPMS:HTR:460"
"Q0H08","QUAD:HTR:460"
"BCXH1","BEND:HTR:480"
"BPMH1","BPMS:HTR:540"
"BCXH2","BEND:HTR:600"
"CEHTR","COLL:HTR:615"
"YAGH1","YAGS:HTR:625"
"UMHTR","USEG:HTR:650"
"YAGH2","YAGS:HTR:675"
"BCXH3","BEND:HTR:700"
"BPMH2","BPMS:HTR:760"
"BCXH4","BEND:HTR:820"
"BPMHD01","BPMS:HTR:830"
"QHD01","QUAD:HTR:830"
"YCHD01","YCOR:HTR:841"
"XCHD01","XCOR:HTR:848"
"BPMHD02","BPMS:HTR:860"
"QHD02","QUAD:HTR:860"
"YCHD03","YCOR:HTR:951"
"BPMHD03","BPMS:HTR:960"
"QHD03","QUAD:HTR:960"
"XCHD03","XCOR:HTR:974"
"BPMHD04","BPMS:HTR:980"
"QHD04","QUAD:HTR:980"
"BKRDG0","KICK:DIAG0:110"
"BPMDG000","BPMS:COL0:125"
"BPMDG000?","BPMS:DIAG0:135"
"BLRDG0","BEND:DIAG0:155"
"RFBDG001","BPMS:DIAG0:160"
"XCDG001","XCOR:DIAG0:178"
"BPMDG001","BPMS:DIAG0:190"
"QDG001","QUAD:DIAG0:190"
"YCDG001","YCOR:DIAG0:199"
"BPMDG002","BPMS:DIAG0:210"
"QDG002","QUAD:DIAG0:210"
"XCC000","XCOR:COL0:235"
"YCC000","YCOR:COL0:235"
"XCDG002","XCOR:DIAG0:218"
"BPMC001","BPMS:COL0:240"
"QC001","QUAD:COL0:240"
"BPMDG003","BPMS:DIAG0:230"
"QDG003","QUAD:DIAG0:230"
"BPMC002","BPMS:COL0:260"
"QC002","QUAD:COL0:260"
"YCDG002","YCOR:DIAG0:247"
"BXDG0","BEND:DIAG0:260"
"BPMC003","BPMS:COL0:280"
"QC003","QUAD:COL0:280"
"YCC003","YCOR:COL0:289"
"BPMDG004","BPMS:DIAG0:270"
"QDG004","QUAD:DIAG0:270"
"XCDG003","XCOR:DIAG0:280"
"YCDG003","YCOR:DIAG0:280"
"BPMDG005","BPMS:DIAG0:285"
"QDG005","QUAD:DIAG0:285"
"XCDG005","XCOR:DIAG0:290"
"YCDG005","YCOR:DIAG0:290"
"BPMC004","BPMS:COL0:320"
"QC004","QUAD:COL0:320"
"XCC004","XCOR:COL0:328"
"QDG006","QUAD:DIAG0:300"
"TCYDG0","ACCL:DIAG0:320"
"BPMDG0RF","BPMS:DIAG0:330"
"TCXDG0","ACCL:DIAG0:340"
"QDG007","QUAD:DIAG0:360"
"BPMDG008","BPMS:DIAG0:370"
"QDG008","QUAD:DIAG0:370"
"XCDG008","XCOR:DIAG0:380"
"YCDG008","YCOR:DIAG0:380"
"BPMDG009","BPMS:DIAG0:390"
"QDG009","QUAD:DIAG0:390"
"OTRDG01","OTRS:DIAG0:396"
"CYC01","COLL:COL0:390"
"BPMC005","BPMS:COL0:400"
"QC005","QUAD:COL0:400"
"RFBDG002","BPMS:DIAG0:410"
"YCC005","YCOR:COL0:409"
"OTRDG02","OTRS:DIAG0:420"
"WSDG01","WIRE:DIAG0:424"
"OTRDG03","OTRS:DIAG0:440"
"QDG010","QUAD:DIAG0:455"
"XCDG010","XCOR:DIAG0:460"
"YCDG010","YCOR:DIAG0:460"
"BPMDG011","BPMS:DIAG0:470"
"QDG011","QUAD:DIAG0:470"
"RFBDG003","BPMS:DIAG0:480"
"CXC01","COLL:COL0:470"
"BPMC006","BPMS:COL0:480"
"QC006","QUAD:COL0:480"
"XCC006","XCOR:COL0:488"
"BYDG0","BEND:DIAG0:510"
"BPMDG012","BPMS:DIAG0:520"
"OTRDG04","OTRS:DIAG0:525"
"FCDG0DU","FARC:DIAG0:530"
"OTRC006","PROF:COL0:535"
"WSC006","WIRE:COL0:540"
"RFBC006","BPMS:COL0:545"
"CYC02","COLL:COL0:550"
"BPMC007","BPMS:COL0:560"
"QC007","QUAD:COL0:560"
"YCC007","YCOR:COL0:569"
"CXC02","COLL:COL0:630"
"BPMC008","BPMS:COL0:640"
"QC008","QUAD:COL0:640"
"XCC008","XCOR:COL0:648"
"CYC03","COLL:COL0:710"
"BPMC009","BPMS:COL0:720"
"QC009","QUAD:COL0:720"
"YCC009","YCOR:COL0:729"
"CXC03","COLL:COL0:790"
"BPMC010","BPMS:COL0:800"
"QC010","QUAD:COL0:800"
"XCC010","XCOR:COL0:808"
"RFBC011","BPMS:COL0:875"
"BPMC011","BPMS:COL0:880"
